Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2018/19,May-18,South Eastern,Ards MIU,Type 3,"1,098.00",0,0,"1,098.00"
2018/19,May-18,South Eastern,Bangor MIU,Type 3,970,0,0,970
2018/19,May-18,South Eastern,Downe,Type 2,"1,955.00",145,14,"2,114.00"
2018/19,May-18,South Eastern,Lagan Valley,Type 2,"2,016.00",292,0,"2,308.00"
2018/19,May-18,South Eastern,Ulster,Type 1,"5,298.00","2,625.00",450,"8,373.00"
2018/19,May-18,Southern,Craigavon Area,Type 1,"4,817.00","2,687.00",208,"7,712.00"
2018/19,May-18,Southern,Daisy Hill,Type 1,"3,718.00","1,372.00",32,"5,122.00"
2018/19,May-18,Southern,South Tyrone,Type 3,"3,329.00",1,0,"3,330.00"
2018/19,May-18,Western,Altnagelvin Area,Type 1,"4,648.00","1,313.00",12,"5,973.00"
2018/19,May-18,Western,South West Acute,Type 1,"2,320.00",860,17,"3,197.00"
2018/19,May-18,Western,Tyrone County,Type 3,"1,817.00",26,0,"1,843.00"
2018/19,Jun-18,Belfast,Mater,Type 1,"2,968.00","1,002.00",59,"4,029.00"
2018/19,Jun-18,Belfast,Royal Victoria,Type 1,"4,708.00","2,997.00",107,"7,812.00"
2018/19,Jun-18,Belfast,RBHSC,Type 1,"2,704.00",504,0,"3,208.00"
2018/19,Jun-18,Belfast,Royal Victoria (RAES),Type 2,997,460,0,"1,457.00"
2018/19,Jun-18,Northern,Antrim Area,Type 1,"4,761.00","2,353.00",165,"7,279.00"
2018/19,Jun-18,Northern,Causeway,Type 1,"2,915.00",967,127,"4,009.00"
2018/19,Jun-18,Northern,Mid-Ulster,Type 3,943,1,0,944
2018/19,Jun-18,South Eastern,Ards MIU,Type 3,"1,131.00",0,0,"1,131.00"
2018/19,Jun-18,South Eastern,Bangor MIU,Type 3,"1,011.00",0,0,"1,011.00"
2018/19,Jun-18,South Eastern,Downe,Type 2,"1,889.00",124,1,"2,014.00"
2018/19,Jun-18,South Eastern,Lagan Valley,Type 2,"1,915.00",327,0,"2,242.00"
2018/19,Jun-18,South Eastern,Ulster,Type 1,"5,104.00","2,524.00",550,"8,178.00"
2018/19,Jun-18,Southern,Craigavon Area,Type 1,"4,459.00","2,738.00",268,"7,465.00"
2018/19,Jun-18,Southern,Daisy Hill,Type 1,"3,736.00","1,340.00",18,"5,094.00"
2018/19,Jun-18,Southern,South Tyrone,Type 3,"3,389.00",0,0,"3,389.00"
2018/19,Jun-18,Western,Altnagelvin Area,Type 1,"4,394.00","1,287.00",36,"5,717.00"
2018/19,Jun-18,Western,South West Acute,Type 1,"2,130.00",967,27,"3,124.00"
